Survey;CellID;Location;Area
1;18965;Riponne;Ville
1;26575;Riponne;Ville
1;10075;Riponne;Ville
1;10077;Riponne;Ville
1;18965;Riponne;Ville
1;18968;Riponne;Ville
1;31013;Riponne;Ville
1;31062;Riponne;Ville
1;8954;Riponne;Ville
1;31361;Riponne;Ville
1;24263;Riponne;Ville
1;29190522;Riponne;Ville
1;6633473;Riponne;Ville
1;3309731;Riponne;Ville
1;3323055;Riponne;Ville
1;6627293;Riponne;Ville
1;62720707;Riponne;Ville
1;100744989;Riponne;Ville
1;5150981;Riponne;Ville
1;4367617;Riponne;Ville
1;5150993;Riponne;Ville
1;16870922;Riponne;Ville
1;16870921;Riponne;Ville
1;5150977;Riponne;Ville
1;5150985;Riponne;Ville
1;4367657;Riponne;Ville
1;18776325;Riponne;Ville
1;19261955;Riponne;Ville
1;18776321;Riponne;Ville
1;19262056;Riponne;Ville
1;19262058;Riponne;Ville
1;4506399;Riponne;Ville
1;4491296;Riponne;Ville
1;17942532;Riponne;Ville
1;5141000;Riponne;Ville
2;18965;Riponne;Ville
2;26575;Riponne;Ville
2;10075;Riponne;Ville
2;31013;Riponne;Ville
2;10077;Riponne;Ville
2;31062;Riponne;Ville
2;10886;Riponne;Ville
2;8954;Riponne;Ville
2;15652;Riponne;Ville
2;23183;Riponne;Ville
2;52305;Riponne;Ville
2;24263;Riponne;Ville
2;29190522;Riponne;Ville
2;6633473;Riponne;Ville
2;3309731;Riponne;Ville
2;3323055;Riponne;Ville
2;6627293;Riponne;Ville
2;62720707;Riponne;Ville
2;100744989;Riponne;Ville
2;5150981;Riponne;Ville
2;4367617;Riponne;Ville
2;5150993;Riponne;Ville
2;16870922;Riponne;Ville
2;16870921;Riponne;Ville
2;5150977;Riponne;Ville
2;5150985;Riponne;Ville
2;18776325;Riponne;Ville
2;19262056;Riponne;Ville
2;19262058;Riponne;Ville
2;4354070;Riponne;Ville
2;4491296;Riponne;Ville
2;4506399;Riponne;Ville
2;17942532;Riponne;Ville
2;5141000;Riponne;Ville
3;18965;Riponne;Ville
3;26575;Riponne;Ville
3;10075;Riponne;Ville
3;10886;Riponne;Ville
3;10077;Riponne;Ville
3;31062;Riponne;Ville
3;18968;Riponne;Ville
3;31013;Riponne;Ville
3;18965;Riponne;Ville
3;8954;Riponne;Ville
3;23192;Riponne;Ville
3;6098;Riponne;Ville
3;15652;Riponne;Ville
3;59714;Riponne;Ville
3;29190522;Riponne;Ville
3;6633473;Riponne;Ville
3;3309731;Riponne;Ville
3;3323055;Riponne;Ville
3;6627293;Riponne;Ville
3;62720707;Riponne;Ville
3;100744989;Riponne;Ville
3;5150981;Riponne;Ville
3;4367617;Riponne;Ville
3;5150993;Riponne;Ville
3;5150977;Riponne;Ville
3;5150985;Riponne;Ville
3;4367657;Riponne;Ville
3;18776325;Riponne;Ville
3;19261956;Riponne;Ville
3;18776322;Riponne;Ville
3;18776321;Riponne;Ville
3;4491296;Riponne;Ville
3;4506399;Riponne;Ville
3;17942532;Riponne;Ville
3;5141000;Riponne;Ville
4;18965;Riponne;Ville
4;26575;Riponne;Ville
4;10075;Riponne;Ville
4;18606;Riponne;Ville
